#,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR
166,Sean Murphy,ATL,96,390,17,44,48,0,9.70%,27.00%,0.194,0.266,0.222,0.313,0.416,0.318,103,-0.7,0.7,2.8,1.7
167,Justin Crawford,PHI,110,476,7,63,48,25,7.30%,20.70%,0.107,0.342,0.276,0.331,0.383,0.314,99,1.5,0.9,0.3,1.7
168,Ha-Seong Kim,ATL,96,413,9,47,42,15,10.70%,17.90%,0.123,0.282,0.244,0.33,0.368,0.309,97,0.7,-0.8,4.1,1.7
169,Josh Jung,TEX,128,553,18,60,66,4,5.50%,25.30%,0.156,0.306,0.248,0.294,0.404,0.303,95,-1.2,-4.8,2.4,1.7
170,Nolan Schanuel,LAA,143,616,15,74,65,6,11.20%,13.80%,0.137,0.289,0.265,0.357,0.402,0.334,114,-1.5,8.4,-12.9,1.7
171,Kerry Carpenter,DET,113,490,24,62,78,2,6.50%,23.70%,0.224,0.293,0.258,0.314,0.481,0.339,118,-1.0,9.3,-9.9,1.7
172,Nick Gonzales,PIT,97,420,8,46,45,2,6.30%,20.40%,0.142,0.318,0.264,0.318,0.405,0.315,99,-0.8,-1.2,3.5,1.7
173,Gavin Lux,TBR,105,455,7,53,41,3,10.50%,21.70%,0.116,0.322,0.257,0.337,0.373,0.315,101,-0.5,-0.2,0.8,1.7
174,Ryan McMahon,NYY,113,490,17,54,55,3,11.30%,31.90%,0.16,0.285,0.211,0.304,0.371,0.298,91,-0.8,-6.2,5.6,1.7
175,Kyle Teel,CHW,94,380,10,45,41,5,10.90%,25.20%,0.133,0.317,0.247,0.335,0.381,0.317,103,-0.4,0.8,2.0,1.6
176,Pedro Pages,STL,91,358,10,34,39,1,6.60%,25.70%,0.138,0.283,0.228,0.284,0.366,0.283,82,-0.7,-8.4,9.7,1.6
177,Victor Scott II,STL,133,574,8,64,49,38,8.00%,21.40%,0.098,0.28,0.226,0.299,0.324,0.279,79,4.0,-10.3,7.2,1.6
178,Kyle Manzardo,CLE,120,518,23,61,71,2,10.10%,23.40%,0.21,0.272,0.24,0.323,0.449,0.332,115,-0.6,8.4,-10.2,1.6
179,Christian Walker,HOU,138,595,27,70,80,3,8.50%,26.10%,0.199,0.271,0.231,0.306,0.43,0.318,104,-1.2,1.6,-6.1,1.6
180,Brayan Rocchio,CLE,117,504,10,57,51,12,8.10%,18.50%,0.127,0.278,0.239,0.31,0.366,0.298,91,-0.5,-5.7,4.2,1.6
